No,metric,entityId,name,propagateToSubEntity,platform,eventName,propertyNames,propertyValues,incrementalProperty,Environment,Status,Testing Status,Testing Results Link
1,defeat-monster-ghajar-abductors-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-ghajar-abductors-the-scape,true,segment,Game Match Resulted,monster_killed_ghajar_abductor,amount,monster_killed_ghajar_abductor,PROD,Added,,
2,defeat-monster-harpy-skyclaws-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-harpy-skyclaws-the-scape,true,segment,Game Match Resulted,monster_killed_harpy_skyclaw,amount,monster_killed_harpy_skyclaw,PROD,Added,,
3,defeat-monster-gobbler-abominations-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-gobbler-abominations-the-scape,true,segment,Game Match Resulted,monster_killed_gobbler_abomination,amount,monster_killed_gobbler_abomination,PROD,Added,,
4,defeat-monster-shard-gobbler-v2-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-shard-gobbler-v2--the-scape,true,segment,Game Match Resulted,monster_killed_shard_gobbler,amount,monster_killed_shard_gobbler,PROD,Added,,
5,defeat-monster-dominion-lancers-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-dominion-lancers-the-scape,true,segment,Game Match Resulted,monster_killed_dominion_lancer,amount,monster_killed_dominion_lancer,PROD,Added,,
6,defeat-monster-dominion-scouts-v2-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-dominion-scouts-v2-the-scape,true,segment,Game Match Resulted,monster_killed_dominion_scout,amount,monster_killed_dominion_scout,PROD,Added,,
7,defeat-monster-dominion-lancers-the-scape-v2,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-dominion-lancers-the-scape-v2,true,segment,Game Match Resulted,"monster_killed_dominion_lancer, match_result",amount,"monster_killed_dominion_lancer, Win",PROD,Not Added,,
8,defeat-monster-garro-dominion-captain-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-garro-dominion-captain-the-scape,true,segment,Game Match Resulted,"monster_killed_GARRO_DOMINION_CAPTAIN, match_result","amount, Win",monster_killed_GARRO_DOMINION_CAPTAIN,PROD,Added,,
