No,Event Name,Metrics ID & Name (STG),propertyNames,Metrics filter,propertyValues,Incremented By (STG),Status,Metrics ID & Name (Prod),Attributes (Prod),Metrics filter,Value,Incremented By (PROD),Status,Implemented On,Test Results,Comment
38,Physical Card Activated,physical-card-activated,-,equals,,-,Added,physical-card-activated,-,,,-,Added,Bitazza (GL & TH),,
39,Trade Order Completed,trade-order-completed,-,equals,,-,Added,trade-order-completed,-,,,-,Added,Bitazza (GL & TH),,
40,Trade Order Completed,trade-order-completed-usdt-gl,"platform(gl),
trading_pair(usdt)",equals,,-,Added,-,,,,,Added,Bitazza GL,,
41,Trade Order Completed,trade-order-completed-gl-usdt-futures-amount,"platform(gl),
trading_pair(usdt),
trade_type(futures),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-futures-usdt-amount-gl,"platform(gl),
trading_pair(usdt),
trade_type(futures),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,
42,Trade Order Completed,trade-order-completed-gl-spot-usdt-amount,"platform(gl),
trading_pair(usdt),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-usdt-amount-gl,"platform(gl),
trading_pair(usdt),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,
43,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-usd-amount-gl,"platform(gl),
trading_pair(usd),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,
44,Trade Order Completed,-,,equals,,,Added,trade-order-completed-futures-usd-amount-gl,"platform(gl),
trading_pair(usd),
trade_type(futures),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,
45,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-wif-amount-gl,"platform(gl),
trading_product(WIF),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,WIF
46,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-ton-amount-gl,"platform(gl),
trading_product(TON),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,TON
47,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-dogs-amount-gl,"platform(gl),
trading_product(DOGS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,DOGS
48,Trade Order Completed,trade-order-completed-spot-doge-amount-gl,"platform(gl),
trading_pair(DOGE),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-doge-amount-gl,"platform(gl),
trading_product(DOGE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,DOGE
49,Trade Order Completed,trade-order-completed-spot-shib-amount-gl,"platform(gl),
trading_pair(SHIB),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-shib-amount-gl,"platform(gl),
trading_product(SHIB),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,SHIB
50,Trade Order Completed,trade-order-completed-spot-babydoge-amount-gl,"platform(gl),
trading_product(BABYDOGE),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-babydoge-amount-gl,"platform(gl),
trading_product(BABYDOGE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,BABYDOGE
51,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-bome-amount-gl,"platform(gl),
trading_product(BOME),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,BOME
52,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-eos-amount-gl,"platform(gl),
trading_product(EOS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,EOS
53,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-rndr-amount-gl,"platform(gl),
trading_product(RENDER),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,RNDR
54,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-pendle-amount-gl,"platform(gl),
trading_product(PENDLE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,PENDLE
55,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-meme-amount-gl,"platform(gl),
trading_product(MEME),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,MEME
56,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-sats-amount-gl,"platform(gl),
trading_product(1000SATS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,SATS
57,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-metis-amount-gl,"platform(gl),
trading_product(METIS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,METIS
58,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-chz-amount-gl,"platform(gl),
trading_product(CHZ),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,CHZ
59,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-apt-amount-gl,"platform(gl),
trading_product(APT),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,APT
