No,Event Name,Metrics ID & Name (STG),propertyNames,Metrics filter,propertyValues,Incremented By (STG),Status,Metrics ID & Name (Prod),Attributes (Prod),Metrics filter,Value,Incremented By (PROD),Status,Implemented On,Test Results,Comment
135,Item Purchased,,,,,,Added,item-purchased-79-amount,"community_id(79),
quantity(amount)",,,quantity,Added,Seen Space,,Purchase Any item from Seenspace
136,Fdp Payment Completed,tat-shop-and-spend,"currency(THB), payment_amount(amount), merchant_name 
Details HERE",equals,,payment_amount,Not Added,tat-shop-and-spend,"currency(THB), payment_amount(amount), merchant_name
Details HERE",,,payment_amount,Added,Discover Thailand,,"- Purchase tickets on Shop (Track with Spending Amount)
- Spend at Freedom Pay (Direct payment)
*Accumulate Spending from participating merchants
**measurement : Transaction Value"
137,Item Purchased,tat-ride-and-redeem,"community_id(777),
quantity(amount), merchandise_id",equals,,quantity,Not Added,tat-ride-and-redeem,"community_id(409),
quantity(amount), merchandise_id",,,quantity,Not Added,Discover Thailand,,"Purchase tickets on shop (Track with SKUs & product id)
*Event: Shop Only"
138,Fdp Payment Completed,tat-landmark-explorer,"currency(THB), payment_amount(amount), merchant_name
Details HERE",equals,,,Added,tat-landmark-explorer,"currency(THB), payment_amount(amount), merchant_name
Details HERE",,,,Added,Discover Thailand,,"- Purchase tickets on Shop (Track with SKUs from each merchant name)
- Spend at Freedom Pay (Direct payment)
*Event: Shop+Direct Payment (transaction)"
139,Fdp Payment Completed,tat-sip-and-chill,,,,,Not Added,tat-sip-and-chill,"currency(THB), payment_amount(amount), merchant_name
Details HERE",,,,Added,Discover Thailand,,"- Purchase tickets on Shop (Track with SKUs - Merchant name)
- Spend at Freedom Pay (Direct payment)
*Event: Shop+Direct Payment (Transaction)"
140,Fdp Payment Completed,tat-relax-and-unwind,,,,,Not Added,tat-relax-and-unwind,"currency(THB), payment_amount(amount), merchant_name
Details HERE",,,,Added,Discover Thailand,,"- Purchase tickets on Shop (Track with SKUs - Merchant name)
- Spend at Freedom Pay (Direct payment)
*Event: Shop+Direct Payment (Transaction)"
141,Fdp Payment Completed,tat-island-dining,,,,,Not Added,tat-island-dining,"currency(THB), payment_amount(amount), merchant_name
Details HERE",,,,Added,Discover Thailand,,"- Purchase tickets on Shop (Track with SKUs - Merchant name)
- Spend at Freedom Pay (Direct payment)
*Event: Shop+Direct Payment (transaction)"
142,Friend Invited Verified,tat-invite-friends-converted,,equals,,,Not Added,tat-invite-friends-converted,"community_id(777), verification_level(converted)",,,,Not Added,Discover Thailand,,
143,Fdp Payment Completed,seenspace-spending,"currency(SEEN), payment_amount(amount), merchant_name(Seen Space)",equals,,payment_amount,Added,seenspace-spending,"currency(SEEN), payment_amount(amount), merchant_name(Seenspace)",,,payment_amount,Added,Seen Space,,Speenspace spending mission
144,Social Scoring Received,bitazza-community-social-score,"community_id(), point(amount)",equals,,point,Not Added,bitazza-community-social-score,"community_id(118), point(amount)",,,point,Added,Bitazza (FDW App),,social score mission for BTZ community on the FDW app
145,Social Scoring Received,,,,,,,freedom-fashion-social-score,"community_id(82), point(amount)",,,point,Added,Freedom Fashion,,
146,Social Scoring Received,,,,,,,freedom-cafe-social-score,"community_id(37), point(amount)",,,point,Added,Freedom Cafe,,
147,Fdp Payment Completed,,,,,,,token-purchased-amount-thb-gift-of-happiness,"currency(THB), order_amount(amount), merchant_name (Gift of Happiness Foundation)",,,order_amount,Added,Gift of Happiness Foundation,,Change to Fdp Payment Completed
148,Friend Invited Verified,-,,,,,,friend-invited-verified-gift-of-happiness,"community_id(418), verification_level(converted)",,,,Added,Gift of Happiness Foundation,,
149,Trade Order Completed,,,,,,,trade-order-completed-spot-thb-amount-th-v2,"platform(th),
trading_ending(THB),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza App - TH,,
150,Trade Order Completed,trade-order-completed-spot-moodeng-amount-th,"platform(th),
trading_product(MOODENG),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-moodeng-amount-th,"platform(th),
trading_product(MOODENG),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza App - TH,,MOODENG
151,Community Joined,community-joined-freedom-cafe,community_id(37),equals,,,Not Added,,,,,,,Freedom Cafe,,Join Freedom Cafe
152,Friend Invited Verified,friend-invited-verified-freedom-cafe-staging-v2,community_id(37),equals,,,Not Added,,,,,,,Freedom Cafe,,
153,Item Purchased,item-purchased-freedom-cafe,"community_id(37),
quantity(amount)",equals,,quantity,Not Added,,,,,,,Freedom Cafe,,Buy any items from Freedom Cafe shop
154,Item Purchased,item-purchased-freedom-cafe-best-blueberry-cake,"community_id(37),
quantity(amount), merchandise_id(535)",equals,,quantity,Not Added,,,,,,,Freedom Cafe,,Best Blueberry Cheesecake
155,Item Purchased,item-purchased-freedom-cafe-better-blueberry-cake,"community_id(37),
quantity(amount), merchandise_id(533)",equals,,quantity,Not Added,,,,,,,Freedom Cafe,,Better Blueberry Cheesecake
156,Item Purchased,top-golf-first-time-purchaser,"community_id(951),
quantity(amount)",equals,,quantity,Added,top-golf-first-time-purchaser,"community_id(951),
quantity(amount)",,,quantity,Added,Top Golf Thailand,,
157,Community Joined,community-joined-tether,community_id(1043),equals,,,Not Added,community-joined-tether,community_id(982),,,,Added,Tether,,For Tether Campaign here: https://docs.google.com/spreadsheets/d/1v1w0fMiDMFmyLjgIEY8LR8siKWcSJ8u5uC3Y8uf3PqE/edit?gid=1320183304#gid=1320183304
158,Deposit Completed,deposit-completed-th-amount-tether,"platform(th),
amount(amount), 
product(thb)",equals,,amount,Not Added,deposit-completed-th-amount-tether,"platform(th),
amount(amount), 
product(thb)",,,amount,Added,Tether,,
159,Trade Order Completed,buy-usdt-spot-thb-bitazza-th,"trade_type(spot), 
trading_product(USDT),
trading_ending(USDT),
tracing_ending(THB),
trading_value(amount),
order_side(Buy)",equals,,trading_value,Not Added,,,,,,,Tether,,Buy X USDT volume of USDT/ THB in spot
160,Trade Order Completed,sell-usdt-spot-thb-bitazza-th,"trade_type(spot), 
trading_product(THB),
trading_ending(USDT),
tracing_ending(THB),
trading_value(amount), 
order_sell(Sell)",equals,,trading_value,Not Added,,,,,,,Tether,,Sell X THB volume of USDT/THB in spot
161,Token Purchased,,,,,,,token-purchased-thb-amount-cherean,"product (thb), 
topup_amount (amount), 
community_id(698)",,,topup_amount,Added,Cherean,,
162,Item Purchased,,,,,,,first-time-purchaser-cherean,community_id(698),,,,Added,Cherean,,
163,Friend Invited Verified,,,,,,,friend-invited-verified-cherean,"community_id(698), verification_level(converted)",,,,Added,Cherean,,
164,Item Purchased,,,,,,,first-time-purchaser-sstown,community_id(420),,,,Added,SSTown,,
165,Item Purchased,,,,,,,item-purchase-sstown,"community_id(420), 
quantity(amount)",,,quantity,Not Added,SSTown,,
166,Item Purchased,,,,,,,item-purchase-sstown-bundle,"community_id(420), 
quantity(amount), 
merchandise_id(1231)",,,quantity,Not Added,SSTown,,
167,Token Purchased,,,,,,,token-purchased-thb-amount-sstown,"token_amount (amount), 
community_id(420)",,,token_amount,Added,SSTown,,
168,Friend Invited Verified,,,,,,,friend-invited-verified-sstown,"community_id(420), verification_level(converted)",,,,Added,SSTown,,
169,Fdp Payment Completed,,,equals,,,,first-time-purchaser-area-five-cafe,"currency(THB), merchant_name (Area Five Cafe)",,,,Added,Area Five Cafe,,
170,Fdp Payment Completed,,,equals,,,,spending-area-five-cafe,"currency(THB), order_amount(amount), 
merchant_name (Area Five Cafe)",,,amount,Added,Area Five Cafe,,
171,Friend Invited Verified,,,equals,,,,friend-invited-verified-area-five-cafe,"community_id(992), verification_level(converted)",,,,Added,Area Five Cafe,,
172,Trade Order Completed,,,,,,,trade-order-completed-spot-thb-amount-th-v3,"platform(th),
trading_ending(THB),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza App - TH,,Milestone Trading with Trump as reward
173,Friend Invited Kyced,friend-invited-kyced-bitazza_th-v2,referee_kyc_platform(bitazza_th),equals,,,Not Added,friend-invited-kyced-bitazza_th-v2,referee_kyc_platform(bitazza_th),,,,Added,Bitazza App - TH,,Friend Referral with FDM as reward
174,Community Joined,,,,,,,community-joined-v2-freedom,-,,,-,Added,All,,
175,Social Post Created,,,,,,,social-post-created-freedom,target_type(user),,,-,Added,All,,
176,Social Follow Created,,,,,,,social-follow-created-freedom,-,,,-,Added,All,,
177,Friend Invited Verified,,,,,,,friend-invited-verified-freedom,verification_level(converted),,,-,Added,All,,
178,Avatar Skin Changed,,,,,,,avatar-skin-changed-freedom,is_default_string(false),,,-,Added,All,,
179,Game Match Resulted,,,,,,,defeat-monster-freedom,"monster_killed_total(amount),
match_result(win)",,,monster_killed_total,Added,All,,
180,Item Purchased,,,,,,,item-purchased-freedom,community_id(35),,,,Not Added,All,,
181,Community Joined,,,,,,,community-joined-cherean,community_id(698),,,,Added,Cherean,,
182,Community Joined,,,,,,,community-joined-onyx,community_id(432),,,,Added,Onyx,,
183,Fdp Payment Completed,,,,,,,first-time-purchaser-onyx,"currency(THB), merchant_name (
ONYX)",,,,Added,Onyx,,
184,Fdp Payment Completed,,,,,,,spending-onyx,"currency(THB), order_amount(amount), 
merchant_name (ONYX)",,,amount,Added,Onyx,,
185,Item Purchased,,,,,,,item-purchase-onyx,"community_id(432),
quantity(amount),
merchandise_id(), 
merchandise_id()",,,quantity,Not Added,Onyx,,
186,Trade Order Completed,,,,,,,trade-order-completed-spot-zent-amount-gl,"platform(gl),
trading_product(ZENT),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza App- GL,,
187,Trade Order Completed,,,,,,,trade-order-completed-spot-zent-amount-th,"platform(th),
trading_product(ZENT),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza App - TH,,
188,Trade Order Completed,,,,,,,trade-order-completed-spot-thb-amount-th-v4,"platform(th),
trading_ending(THB),
trade_type(spot),
trading_value(amount)",,,trading_value,Not Added,Bitazza App - TH,,Milestone Trading March - July
189,Fdp Payment Completed,,,,,,,first-time-purchaser-roon-khanom-khai,"currency(THB), merchant_name (
Roon Khanom Khai)",,,,Added,Roon Khanom Khai,,Change to Fdp Payment
190,Fdp Payment Completed,,,,,,,spending-roon-khanom-thai,"currency(THB), order_amount(amount), 
merchant_name (
Roon Khanom Khai)",,,order_amount,Added,Roon Khanom Khai,,Change to Fdp Payment
191,Friend Invited Verified,,,,,,,friend-invited-verified-roon-khanom-thai,"community_id(1085), verification_level(converted)",,,,Testing Done,Roon Khanom Khai,,
192,Community Joined,,,,,,,community-joined-fuse,community_id(100),,,,Testing Done,FUSE,,
193,Friend Invited Verified,,,,,,,friend-invited-verified-fuse-v2,"community_id(100), verification_level(converted)",,,,Testing Done,FUSE,,
194,Social Scoring Received,,,,,,,community-social-score-fuse,"community_id(100), point(amount)",,,point,Testing Done,FUSE,,
195,Game Match Resulted,defeat-monster-fuse,"monster_killed_total(amount),
match_result(win)",equals,,monster_killed_total,Added,defeat-monster-fuse,"monster_killed_total(amount),
match_result(win)",,,monster_killed_total,Testing Done,FUSE,,metrics reset 9/4/2025
196,Item Purchased,,,,,,,item-purchased-fuse,"community_id(100),
quantity(amount),
merchandise_id(1569)",,,quantity,Testing Done,FUSE,,
197,Community Joined,,,,,,,community-joined-v-street,community_id(869),,,,Testing Done,V street,,
198,Game Match Resulted,,,,,,,defeat-monster-top-golf,"monster_killed_total(amount),
match_result(win)",,,monster_killed_total,Testing Done,Top Golf Thailand,,
199,Trade Order Completed,tether-spot-usdt-amount-th,"platform(th),
trading_product(USDT),
trade_type(spot),
quantity(amount),
order_side (Buy)",,,quantity,Added,tether-spot-usdt-amount-th,"platform(th),
trading_product(USDT),
trade_type(spot),
quantity(amount),               
order_side (Buy)",,,quantity,Testing Done,Tether,,
200,Item Purchased,,,,,,,spending-8-iron-golf,"value(amount), community_id(1096)",,,value,Testing Done,8 Iron Golf,,
201,Item Purchased,,,,,,,first-time-purchaser-8-iron-golf,community_id(1096),,,value,Testing Done,8 Iron Golf,,
202,Friend Invited Verified,,,,,,,friend-invited-verified-8-iron-golf,"community_id(1096), verification_level(converted)",,,,Testing Done,8 Iron Golf,,
203,Game Match Resulted,,,,,,,defeat-monster-area-five-cafe,"monster_killed_total(amount),
match_result(win)",,,monster_killed_total,Testing Done,Area Five Cafe,,
204,Fdp Payment Completed,,,,,,,first-time-purchase-japan-and-friends,"currency(THB), merchant_name (
Japan and Friends)",,,,Added,Japan and Friends,,
205,Fdp Payment Completed,,,,,,,spending-japan-and-friends,"currency(THB), order_amount(amount), 
merchant_name (
Japan and Friends)",,,amount,Added,Japan and Friends,,
206,Friend Invited Verified,,,,,,,friend-invite-verified-japan-and-friends,"community_id(1095), verification_level(converted)",,,,Testing Done,Japan and Friends,,
207,Community Joined,,,,,,,community-joined-muic-blockchain-club,community_id(1212),,,,Added,MUIC Blockchain Club,,
208,Item Purchased,,,,,,,first-time-purchase-prang-view,community_id(1077),,,,Testing Done,Prang View,,
209,Item Purchased,,,,,,,spending-prang-view,"value(amount), community_id(1077)",,,value,Testing Done,Prang View, ,
210,Friend Invited Verified,,,,,,,friend-invite-verified-prang-view,"community_id(1077), verification_level(converted)",,,,Testing Done,Prang View,,
211,Social Scoring Received,,,,,,,freedom-social-score,"community_id(35), point(amount)",,,point,Pending,Freedom World,,
212,Deposit Completed,,,,,,,deposit-completed-th-amount-v2,"platform(th), 
product(thb)",,,,Testing Done,Bitazza App - TH,,
213,Trade Order Completed,,,,,,,trade-order-completed-spot-thb-amount-th-v5,"platform(th),
trading_ending(THB),
trade_type(spot),
trading_value(amount)",,,trading_value,Testing Done,Bitazza App - TH,,
214,Trade Order Completed,,,,,,,first-trade-order-completed-spot-thb-amount-th,"platform(th),
trading_ending(THB),
trade_type(spot),
trading_value(amount)",,,trading_value,Testing Done,Bitazza App - TH,Using user 360,
215,Fdp Payment Completed,,,,,,,first-time-purchase-ratio-waffle,"currency(THB), merchant_name (
Ratio Waffle)",,,,Added,Ratio Waffle,,
216,Fdp Payment Completed,,,,,,,spending-ratio-waffle,"currency(THB), order_amount(amount), 
merchant_name (
Ratio Waffle)",,,order_amount,Added,Ratio Waffle,,
217,Friend Invited Verified,,,,,,,friend-invite-verified-ratio-waffle,"community_id(1201), verification_level(converted)",,,,Testing Done,Ratio Waffle,,
218,Item Purchased,,,,,,,first-time-purchase-tochio-donut,community_id(1219),,,,Testing Done,Tochio Donut,,
219,Item Purchased,,,,,,,spending-tochio-donut,"value(amount), community_id(1219)",,,value,Testing Done,Tochio Donut,,
220,Friend Invited Verified,,,,,,,friend-invite-verified-tochio-donut,"community_id(1219), verification_level(converted)",,,,Testing Done,Tochio Donut,,
221,Fdp Payment Completed,,,,,,,first-time-purchase-anant-ja-pan-cha-yen,"currency(THB), merchant_name (
Anant Ja Pan Chayen)",,,,Added,ANant Ja Pan Cha Yen,,
222,Fdp Payment Completed,,,,,,,spending-anant-ja-pan-cha-yen,"currency(THB), order_amount(amount), 
merchant_name (
Anant Ja Pan Chayen)",,,order_amount,Added,ANant Ja Pan Cha Yen,,
223,Friend Invited Verified,,,,,,,friend-invite-verified-anant-ja-pan-cha-yen,"community_id(1420), verification_level(converted)",,,,Added,ANant Ja Pan Cha Yen,,
224,Item Purchased,,,,,,,first-time-purchase-bangbang-bangkok,community_id(1071),,,,Testing Done,BangBang Bangkok,,
225,Item Purchased,,,,,,,spending-bangbang-bangkok,"value(amount), community_id(1071)",,,value,Testing Done,BangBang Bangkok,,
226,Item Purchased,,,,,,,first-time-purchase-bangkok-deejay,community_id(1070),,,,Testing Done,Bangkok Deejay,https://bitazza.atlassian.net/browse/BG-910?focusedCommentId=109947,
227,Item Purchased,,,,,,,spending-bangkok-deejay,"value(amount), community_id(1070)",,,value,Testing Done,Bangkok Deejay,,
228,Item Purchased,,,,,,,first-time-purchase-oxygen-tour,community_id(1200),,,,Added,Oxygen Tour Koh Tao,,
229,Item Purchased,,,,,,,spending-oxygen-tour,"value(amount), community_id(1200)",,,value,Added,Oxygen Tour Koh Tao,,
230,Friend Invited Verified,,,,,,,friend-invite-verified-oxygen-tour,"community_id(1200), verification_level(converted)",,,,Added,Oxygen Tour Koh Tao,,
231,Item Purchased,,,,,,,first-time-purchase-songkhla,community_id(1195),,,,Added,Songkhla,https://bitazza.atlassian.net/browse/BG-929?focusedCommentId=112224,
232,Token Purchased,,,,,,,token-purchased-thb-amount-songkhla,"product (thb), 
topup_amount (amount), 
community_id(1195)",,,topup_amount,Added,Songkhla,,
233,Friend Invited Verified,,,,,,,friend-invite-verified-songkhla,"community_id(1195), verification_level(converted)",,,,Added,Songkhla,,
234,Item Purchased,,,,,,,item-purchased-songkhla,"quantity(amount), community_id(1195)",,,quantity,Added,Songkhla,,
235,Trade Order Completed,,,,,,,tether-sell-usdt-amount-thb,"platform(th),
trading_product(USDT),
trade_type(spot),
trading_value(amount),
order_side (Sell)",,,trading_value,Added,Tether,,
236,Trade Order Completed,,,,,,,ledger-spot-usdt-amount-th,"platform(th),
trading_ending(THB),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza App - TH,Ledger Campaign,
237,Friend Invited Verified,,,,,,,invite-friend-converted-bangkok-community-help-foundation,"community_id(472),
verification_level(converted)",,,,Added,Bangkok Community Help Foundation,,
238,"fdp_payment_completed (STG) or 
Fdp Payment Completed (PROD)",token-purchased-amount-thb-bangkok-community-help-foundation,"currency(THB), order_amount(amount), merchant_name (Bangkok Community Help Foundation)",equals,,order_amount,Added,token-purchased-amount-thb-bangkok-community-help-foundation,"currency(THB), order_amount(amount), merchant_name (Bangkok Community Help Foundation)",,,order_amount,Not Added,Bangkok Community Help Foundation,,Change to Fdp Payment Completed
239,Friend Invited Verified,,,,,,,friend-invite-verified-tomyum-koong,"community_id(335),
verification_level(converted)",,,,Added,Tomyum Koong,,
240,Fdp Payment Completed,,,,,,,first-time-purchase-tomyum-koong,"currency(THB), merchant_name (TomYum Koong)",,,,Added,Tomyum Koong,,
241,Fdp Payment Completed,,,,,,,spending-tomyum-koong,"currency(THB), order_amount(amount), merchant_name (TomYum Koong)",,,order_amount,Added,Tomyum Koong,,
242,Friend Invited Verified,,,,,,,friend-invite-verified-ricos-sathorn,"community_id(1395),
verification_level(converted)",,,,Added,Rico's Sathorn,,
243,Fdp Payment Completed,,,,,,,first-time-purchase-ricos-sathorn,"currency(THB), merchant_name (Rico's Sathorn)",,,,Added,Rico's Sathorn,,
244,Fdp Payment Completed,,,,,,,spending-ricos-sathorn,"currency(THB), order_amount(amount), merchant_name (Rico's Sathorn)",,,order_amount,Added,Rico's Sathorn,,
245,Friend Invited Verified,,,,,,,friend-invite-verified-yuutako,"community_id(1406),
verification_level(converted)",,,,Added,Yuutako,,
246,Fdp Payment Completed,,,,,,,first-time-purchase-yuutako,"currency(THB), merchant_name (yuutako)",,,,Added,Yuutako,,
247,Fdp Payment Completed,,,,,,,spending-yuutako,"currency(THB), order_amount(amount), merchant_name (yuutako)",,,order_amount,Added,Yuutako,,
245,Friend Invited Verified,,,,,,,friend-invite-verified-tech&trade,"community_id(1396),
verification_level(converted)",,,,Added,Tech & Trade Community Thailand,,
246,Fdp Payment Completed,,,,,,,first-time-purchase-tech&trade,"currency(THB), merchant_name (Tech & Trade community Thailand)",,,,Added,Tech & Trade Community Thailand,,
247,Fdp Payment Completed,,,,,,,spending-tech&trade,"currency(THB), order_amount(amount), merchant_name (Tech & Trade community Thailand)",,,order_amount,Added,Tech & Trade Community Thailand,,
248,Friend Invited Verified,,,,,,,friend-invite-verified-baked-by-apple,"community_id(1255),
verification_level(converted)",,,,Added, Baked by Apple,,
249,Fdp Payment Completed,,,,,,,first-time-purchase-baked-by-apple,"currency(THB), merchant_name (
Baked by Apple)",,,,Added, Baked by Apple,,
250,Fdp Payment Completed,,,,,,,spending-baked-by-apple,"currency(THB), order_amount(amount), merchant_name (
Baked by Apple)",,,order_amount,Added, Baked by Apple,,
251,Friend Invited Verified,,,,,,,friend-invite-verified-rinn-refined-thai-tea,"community_id(1448),
verification_level(converted)",,,,Added,RiNn Refined Thai Tea,,
252,Fdp Payment Completed,,,,,,,first-time-purchase-rinn-refined-thai-tea,"currency(THB), merchant_name (
RiNn Refined Thai Tea
)",,,,Added,RiNn Refined Thai Tea,,
253,Item Purchase,,,,,,,spending-serene-rinn-refined-thai-tea,"community_id(1448),
quantity(amount),
merchandise_id(2106)",,,quantity,Added,RiNn Refined Thai Tea,,
254,Item Purchase,,,,,,,spending-serene-rinn-sage-thai-tea,"community_id(1448),
quantity(amount),
merchandise_id(2108)",,,quantity,Added,RiNn Refined Thai Tea,,
255,Fdp Payment Completed,,,,,,,first-time-purchase-v-street,"currency(THB), merchant_name (V Street)",,,,Added,V street,,
256,Fdp Payment Completed,,,,,,,spending-v-street,"currency(THB), merchant_name (V Street),
order_amount(amount)",,,order_amount,Added,V street,,
251,Friend Invited Verified,,,,,,,friend-invite-verified-v-street,"community_id(869),
verification_level(converted)",,,,Added,V street,,
252,Fdp Payment Completed,,,,,,,first-time-purchase-ruyicha-hatyai,"currency(THB), merchant_name (Ruyicha Hatyai)",,,,Added,Ruyicha Hatyai,,
253,Fdp Payment Completed,,,,,,,spending-ruyicha-hatyai,"currency(THB), merchant_name (Ruyicha Hatyai), order_amount(amount)",,,order_amount,Added,Ruyicha Hatyai,,
254,Item Purchase,,,,,,,spending-boba-milk-tea-ruyicha-hatyai,"community_id(1488),
quantity(amount),
merchandise_id(2158)",,,quantity,Added,Ruyicha Hatyai,,
255,Item Purchase,,,,,,,spending-chocolate-milk-tea-ruyicha-hatyai,"community_id(1488),
quantity(amount),
merchandise_id(2160)",,,quantity,Added,Ruyicha Hatyai,,
256,Item Purchase,,,,,,,spending-iced-thai-tea-ruyicha-hatyai,"community_id(1488),
quantity(amount),
merchandise_id(2159)",,,quantity,Added,Ruyicha Hatyai,,
257,Friend Invited Verified,,,,,,,friend-invite-verified-ruyicha-hatyai,"community_id(1488),
verification_level(converted)",,,,Added,Ruyicha Hatyai,,
258,Community Joined,,,,,,,community-joined-epic-entertaiment,community_id(40),,,,Added,Epic Entertainment,,
259,Fdp Payment Completed,,,,,,,first-time-purchase-refine-cofee-roster-tdcc,"currency(THB), merchant_name (Refine Coffee Roster TCDC)",,,,Added,Refine Coffee Roster TCDC,,TAT
260,Fdp Payment Completed,,,,,,,first-time-purchase-savor,"currency(THB), merchant_name (Savor)",,,,Added,Savor,,TAT
261,Fdp Payment Completed,,,,,,,first-time-purchase-friend-coffee-and-bar,"currency(THB), merchant_name (Friend Coffee and Bar)",,,,Added,Friend Coffee and bar,,TAT
262,Fdp Payment Completed,,,,,,,first-time-purchase-ristr8to-original,"currency(THB), merchant_name (Ristr8to Original)",,,,Added,Ristr8to Original,,TAT
263,Fdp Payment Completed,,,,,,,first-time-purchase-trofe,"currency(THB), merchant_name (Trofe)",,,,Added,Trofe,,TAT
264,Fdp Payment Completed,,,,,,,first-time-purchase-thong-urai,"currency(THB), merchant_name (Thong Urai Cafe and Paw Made Painting)",,,,Added,Thong Urai Cafe and Paw Made Painting,,TAT
265,Fdp Payment Completed,,,,,,,first-time-purchase-teety-scoops,"currency(THB), merchant_name (Teety Scoops)",,,,Added,Teety Scoops,,TAT
266,Fdp Payment Completed,,,,,,,first-time-purchase-beans-of-us,"currency(THB), merchant_name (Beans of us Coffee Roaster)",,,,Added,Beans of us Coffee Roaster,,TAT
267,Fdp Payment Completed,,,,,,,first-time-purchase-wishlist-studio,"currency(THB), merchant_name (Wishlist Studio)",,,,Added,Wishlist Studio,,
268,Fdp Payment Completed,,,,,,,spending-wishlist-studio,"currency(THB), merchant_name (Wishlist Studio), order_amount(amount)",,,order_amount,Added,Wishlist Studio,,
269,Friend Invited Verified,,,,,,,friend-invited-verified-wishlist-studio,"community_id(1468),
verification_level(converted)",,,,Added,Wishlist Studio,,
270,Fdp Payment Completed,,,,,,,first-time-purchase-teds-coffee,"currency(THB), merchant_name (TEDS Coffee & Eatery)",,,,Added,TEDS Coffee & Eatery ,,TAT
271,Fdp Payment Completed,,,,,,,first-time-purchase-morrow-coff,"currency(THB), merchant_name (Morrow coff)",,,,Added,Morrow coff,,TAT
272,Fdp Payment Completed,,,,,,,first-time-purchase-tam,"currency(THB), merchant_name (TAM)",,,,Added,TAM,,TAT
273,Fdp Payment Completed,,,,,,,first-time-purchase-great-shot,"currency(THB), merchant_name (Great Shot Bar CNX)",,,,Added,Great Shot Bar CNX,,TAT
274,Fdp Payment Completed,,,,,,,first-time-purchase-well-coffee,"currency(THB), merchant_name (Well Coffee Station)",,,,Added,Well Coffee Station,,TAT
275,Fdp Payment Completed,,,,,,,first-time-purchase-bob-coffee,"currency(THB), merchant_name (BOB Coffee)",,,,Added,BOB Coffee,,TAT
276,Fdp Payment Completed,,,,,,,first-time-purchase-jai-loy,"currency(THB), merchant_name (
JAI Loy Cafe&Rooftop)",,,,Added,JAI Loy Cafe&Rooftop,,TAT
277,Card Spent,card-spent-everyday-eats,"amount (amount),
mission_category(everyday_eats)",equals,,amount,Testing Done,card-spent-everyday-eats,"amount (amount),
mission_category(everyday_eats)",,,amount,Added,Freedom Card,,
278,Card Spent,card-spent-binge-chill,"amount (amount),
mission_category(binge_and_chill)",equals,,amount,Testing Done,card-spent-binge-chill,"amount (amount),
mission_category(binge_and_chill)",,,amount,Added,Freedom Card,,
279,Card Spent,card-spent-retail-theraphy,"amount (amount),
mission_category(retail_therapy)",equals,,amount,Testing Done,card-spent-retail-theraphy,"amount (amount),
mission_category(retail_therapy)",,,amount,Added,Freedom Card,,
280,Card Spent,card-spent-game-on,"amount (amount),
mission_category(game_on)",equals,,amount,Testing Done,card-spent-game-on,"amount (amount),
mission_category(game_on)",,,amount,Added,Freedom Card,,
281,Card Spent,card-spent-book-go,"amount (amount),
mission_category(book_and_go)",equals,,amount,Testing Done,card-spent-book-go,"amount (amount),
mission_category(book_and_go)",,,amount,Added,Freedom Card,,
282,Friend Invited Verified,friend-invited-verified-freedom-card,"community_id(1056), verification_level(converted)",equals,,,Testing Done,friend-invited-verified-freedom-card,"community_id(296), verification_level(converted)",,,,Not Added,Freedom Card,,
283,Token Purchased,,,,,,,token-purchased-thb-amount-roon-khanom-khai,"product (thb), 
topup_amount (amount), 
community_id(1085)",,,topup_amount,Added,Roon Khanom Khai,,
284,Fdp Payment Completed,,,,,,,spending-refine-cofee-roster-tdcc,"currency(THB), 
merchant_name (Refine Coffee Roster TCDC), 
order_amount(amount)",,,order_amount,Added,Refine Coffee Roster TCDC,,TAT
285,Fdp Payment Completed,,,,,,,spending-savor,"currency(THB), merchant_name (Savor), order_amount(amount)",,,order_amount,Added,Savor,,TAT
286,Fdp Payment Completed,,,,,,,spending-friend-coffee-and-bar,"currency(THB), merchant_name (Friend Coffee and Bar), order_amount(amount)",,,order_amount,Added,Friend Coffee and bar,,TAT
287,Fdp Payment Completed,,,,,,,spending-ristr8to-original,"currency(THB), merchant_name (Ristr8to Original), order_amount(amount)",,,order_amount,Added,Ristr8to Original,,TAT
288,Fdp Payment Completed,,,,,,,spending-trofe,"currency(THB), merchant_name (Trofe), order_amount(amount)",,,order_amount,Added,Trofe,,TAT
289,Fdp Payment Completed,,,,,,,spending-thong-urai,"currency(THB), merchant_name (Thong Urai Cafe and Paw Made Painting), order_amount(amount)",,,order_amount,Added,Thong Urai Cafe and Paw Made Painting,,TAT
290,Fdp Payment Completed,,,,,,,spending-teety-scoops,"currency(THB), merchant_name (Teety Scoops), order_amount(amount)",,,order_amount,Added,Teety Scoops,,TAT
291,Fdp Payment Completed,,,,,,,spending-beans-of-us,"currency(THB), merchant_name (Beans of us Coffee Roaster), order_amount(amount)",,,order_amount,Added,Beans of us Coffee Roaster,,TAT
